time,	w_est,	w_final_filt,	th_r_est,	v_qd_r.q,	v_qd_r.d,	i_qd_r_tot.q,	i_qd_r_tot.d,	i_qd_r_hf.q,	i_qd_r_hf.d,	i_qd_r.q,	i_qd_r.d
0.0022,	204.896,	12.8478,	0.211915,	0.00562138,	-1.33985,	1.9726,	16.6166,	1.94371,	18.327,	0.0288898,	-1.71045
0.002225,	126.099,	13.4242,	0.22019,	0.00436682,	-3.06582,	1.59521,	14.5772,	1.5551,	16.2497,	0.0401111,	-1.67244
0.00225,	126.099,	13.4242,	0.22019,	0.00436682,	-3.06582,	1.59521,	14.5772,	1.5551,	16.2497,	0.0401111,	-1.67244
0.002275,	40.3068,	13.5152,	0.22435,	0.00192126,	-4.12341,	0.978639,	8.92248,	0.926393,	10.5388,	0.052246,	-1.61631
0.0023,	40.3068,	13.5152,	0.22435,	0.00192126,	-4.12341,	0.978639,	8.92248,	0.926393,	10.5388,	0.052246,	-1.61631
0.002325,	7.32554,	13.314,	0.225541,	-0.000958093,	-4.28214,	0.230513,	0.886728,	0.166839,	2.44678,	0.0636743,	-1.56005
0.00235,	7.32554,	13.314,	0.225541,	-0.000958093,	-4.28214,	0.230513,	0.886728,	0.166839,	2.44678,	0.0636743,	-1.56005
0.002375,	48.9442,	13.1857,	0.226948,	-0.0035652,	-3.50746,	-0.552048,	-7.75821,	-0.624898,	-6.23692,	0.07285,	-1.52129
0.0024,	48.9442,	13.1857,	0.226948,	-0.0035652,	-3.50746,	-0.552048,	-7.75821,	-0.624898,	-6.23692,	0.07285,	-1.52129
0.002425,	130.517,	13.436,	0.231434,	-0.00550692,	-1.96824,	-1.1979,	-15.1125,	-1.27655,	-13.599,	0.0786449,	-1.51347
0.00245,	130.517,	13.436,	0.231434,	-0.00550692,	-1.96824,	-1.1979,	-15.1125,	-1.27655,	-13.599,	0.0786449,	-1.51347
0.002475,	177.853,	14.0737,	0.239144,	-0.00647592,	-2.98786e-05,	-1.5009,	-19.5693,	-1.58163,	-18.0264,	0.0807309,	-1.5429
0.0025,	177.853,	14.0737,	0.239144,	-0.00647592,	-2.98786e-05,	-1.5009,	-19.5693,	-1.58163,	-18.0264,	0.0807309,	-1.5429
0.002525,	147.952,	14.7439,	0.247289,	-0.00604452,	1.9687,	-1.37425,	-20.149,	-1.45394,	-18.5416,	0.0796866,	-1.60743
0.00255,	147.952,	14.7439,	0.247289,	-0.00604452,	1.9687,	-1.37425,	-20.149,	-1.45394,	-18.5416,	0.0796866,	-1.60743
0.002575,	72.4028,	15.0617,	0.252798,	-0.00407325,	3.5081,	-0.90764,	-16.7023,	-0.984375,	-15.0054,	0.0767346,	-1.69685
0.0026,	72.4028,	15.0617,	0.252798,	-0.00407325,	3.5081,	-0.90764,	-16.7023,	-0.984375,	-15.0054,	0.0767346,	-1.69685
0.002625,	16.5229,	14.9903,	0.255021,	-0.00107889,	4.28267,	-0.241219,	-9.95304,	-0.314617,	-8.15791,	0.0733984,	-1.79513
0.00265,	16.5229,	14.9903,	0.255021,	-0.00107889,	4.28267,	-0.241219,	-9.95304,	-0.314617,	-8.15791,	0.0733984,	-1.79513
0.002675,	26.1469,	14.8094,	0.256087,	0.00210534,	4.12367,	0.524495,	-1.37698,	0.453226,	0.506931,	0.0712693,	-1.88391
0.0027,	26.1469,	14.8094,	0.256087,	0.00210534,	4.12367,	0.524495,	-1.37698,	0.453226,	0.506931,	0.0712693,	-1.88391
0.002725,	100.996,	14.8769,	0.259266,	0.00483935,	3.06584,	1.26973,	7.16398,	1.19797,	9.11054,	0.0717547,	-1.94656
0.00275,	100.996,	14.8769,	0.259266,	0.00483935,	3.06584,	1.26973,	7.16398,	1.19797,	9.11054,	0.0717547,	-1.94656
0.002775,	185.199,	15.3953,	0.266421,	0.00673556,	1.33979,	1.80105,	13.8182,	1.72535,	15.7899,	0.0756997,	-1.97176
0.0028,	185.199,	15.3953,	0.266421,	0.00673556,	1.33979,	1.80105,	13.8182,	1.72535,	15.7899,	0.0756997,	-1.97176
0.002825,	206.544,	16.2069,	0.276215,	0.00736359,	-0.678216,	1.94482,	17.1487,	1.86174,	19.1047,	0.0830832,	-1.95603
0.00285,	206.544,	16.2069,	0.276215,	0.00736359,	-0.678216,	1.94482,	17.1487,	1.86174,	19.1047,	0.0830832,	-1.95603
0.002875,	148.894,	16.8739,	0.2851,	0.00627967,	-2.54831,	1.68718,	16.4244,	1.59411,	18.3288,	0.0930658,	-1.90445
0.0029,	148.894,	16.8739,	0.2851,	0.00627967,	-2.54831,	1.68718,	16.4244,	1.59411,	18.3288,	0.0930658,	-1.90445
0.002925,	63.2598,	17.0958,	0.290404,	0.00357024,	-3.86288,	1.15566,	11.8001,	1.05133,	13.6298,	0.104322,	-1.82966
0.00295,	63.2598,	17.0958,	0.290404,	0.00357024,	-3.86288,	1.15566,	11.8001,	1.05133,	13.6298,	0.104322,	-1.82966
0.002975,	12.8776,	16.9558,	0.292308,	5.65431e-08,	-4.33675,	0.472044,	4.27731,	0.356711,	6.02638,	0.115333,	-1.74907
0.003,	12.8776,	16.9558,	0.292308,	5.65431e-08,	-4.33675,	0.472044,	4.27731,	0.356711,	6.02638,	0.115333,	-1.74907
0.003025,	32.2342,	16.7756,	0.293436,	-0.00350419,	-3.86385,	-0.2783,	-4.49589,	-0.402878,	-2.81474,	0.124578,	-1.68114
0.00305,	32.2342,	16.7756,	0.293436,	-0.00350419,	-3.86385,	-0.2783,	-4.49589,	-0.402878,	-2.81474,	0.124578,	-1.68114
0.003075,	106.305,	16.8884,	0.296899,	-0.00628619,	-2.54881,	-0.959901,	-12.5912,	-1.09071,	-10.9499,	0.130813,	-1.64128
0.0031,	106.305,	16.8884,	0.296899,	-0.00628619,	-2.54881,	-0.959901,	-12.5912,	-1.09071,	-10.9499,	0.130813,	-1.64128
0.003125,	170.629,	17.4145,	0.303822,	-0.00791326,	-0.678326,	-1.37331,	-18.2385,	-1.50677,	-16.5999,	0.133453,	-1.63855
0.00315,	170.629,	17.4145,	0.303822,	-0.00791326,	-0.678326,	-1.37331,	-18.2385,	-1.50677,	-16.5999,	0.133453,	-1.63855
0.003175,	166.066,	18.1081,	0.31224,	-0.00792293,	1.33985,	-1.38306,	-20.1949,	-1.51585,	-18.5213,	0.132789,	-1.67363
0.0032,	166.066,	18.1081,	0.31224,	-0.00792293,	1.33985,	-1.38306,	-20.1949,	-1.51585,	-18.5213,	0.132789,	-1.67363
0.003225,	100.655,	18.5563,	0.318908,	-0.00603628,	3.06582,	-1.03003,	-18.0304,	-1.15986,	-16.2917,	0.129829,	-1.73876
0.00325,	100.655,	18.5563,	0.318908,	-0.00603628,	3.06582,	-1.03003,	-18.0304,	-1.15986,	-16.2917,	0.129829,	-1.73876
0.003275,	32.9307,	18.5961,	0.322247,	-0.00264354,	4.12341,	-0.450709,	-12.1916,	-0.576662,	-10.3723,	0.125954,	-1.81933
0.0033,	32.9307,	18.5961,	0.322247,	-0.00264354,	4.12341,	-0.450709,	-12.1916,	-0.576662,	-10.3723,	0.125954,	-1.81933
0.003325,	16.2046,	18.4159,	0.323476,	0.00132522,	4.28214,	0.248648,	-3.93984,	0.12598,	-2.04274,	0.122668,	-1.8971
0.00335,	16.2046,	18.4159,	0.323476,	0.00132522,	4.28214,	0.248648,	-3.93984,	0.12598,	-2.04274,	0.122668,	-1.8971
0.003375,	67.1232,	18.3534,	0.325559,	0.00496246,	3.50746,	0.973577,	4.92657,	0.852183,	6.88078,	0.121394,	-1.95421
0.0034,	67.1232,	18.3534,	0.325559,	0.00496246,	3.50746,	0.973577,	4.92657,	0.852183,	6.88078,	0.121394,	-1.95421
0.003425,	150,	18.6754,	0.330987,	0.00765435,	1.96825,	1.56312,	12.4742,	1.43996,	14.4513,	0.123152,	-1.97707
0.00345,	150,	18.6754,	0.330987,	0.00765435,	1.96825,	1.56312,	12.4742,	1.43996,	14.4513,	0.123152,	-1.97707
0.003475,	194.759,	19.362,	0.339606,	0.0089093,	3.29715e-05,	1.83071,	17.0723,	1.7025,	19.0316,	0.128214,	-1.95934
0.0035,	194.759,	19.362,	0.339606,	0.0089093,	3.29715e-05,	1.83071,	17.0723,	1.7025,	19.0316,	0.128214,	-1.95934
0.003525,	162.894,	20.0601,	0.348547,	0.00822397,	-1.9687,	1.70448,	17.723,	1.56846,	19.6263,	0.136023,	-1.90331
0.00355,	162.894,	20.0601,	0.348547,	0.00822397,	-1.9687,	1.70448,	17.723,	1.56846,	19.6263,	0.136023,	-1.90331
0.003575,	85.574,	20.4015,	0.354759,	0.00551732,	-3.50809,	1.27455,	14.2749,	1.1291,	16.0943,	0.145451,	-1.81945
0.0036,	85.574,	20.4015,	0.354759,	0.00551732,	-3.50809,	1.27455,	14.2749,	1.1291,	16.0943,	0.145451,	-1.81945
0.003625,	24.0318,	20.3487,	0.357499,	0.00146455,	-4.28267,	0.67022,	7.46532,	0.515107,	9.18947,	0.155112,	-1.72415
0.00365,	24.0318,	20.3487,	0.357499,	0.00146455,	-4.28267,	0.67022,	7.46532,	0.515107,	9.18947,	0.155112,	-1.72415
0.003675,	21.5796,	20.1557,	0.35864,	-0.00286538,	-4.12367,	-0.0216149,	-1.20417,	-0.18518,	0.432027,	0.163566,	-1.63619
0.0037,	21.5796,	20.1557,	0.35864,	-0.00286538,	-4.12367,	-0.0216149,	-1.20417,	-0.18518,	0.432027,	0.163566,	-1.63619
0.003725,	80.4987,	20.152,	0.361191,	-0.00655532,	-3.06584,	-0.698668,	-9.83722,	-0.868196,	-8.26464,	0.169529,	-1.57258
0.00375,	80.4987,	20.152,	0.361191,	-0.00655532,	-3.06584,	-0.698668,	-9.83722,	-0.868196,	-8.26464,	0.169529,	-1.57258
0.003775,	152.425,	20.5368,	0.367015,	-0.008985,	-1.33979,	-1.18652,	-16.5464,	-1.35874,	-15.0015,	0.172221,	-1.54489
0.0038,	152.425,	20.5368,	0.367015,	-0.008985,	-1.33979,	-1.18652,	-16.5464,	-1.35874,	-15.0015,	0.172221,	-1.54489
0.003825,	172.184,	21.1888,	0.37513,	-0.00962714,	0.678212,	-1.32272,	-19.8682,	-1.49437,	-18.3114,	0.171648,	-1.55674
0.00385,	172.184,	21.1888,	0.37513,	-0.00962714,	0.678212,	-1.32272,	-19.8682,	-1.49437,	-18.3114,	0.171648,	-1.55674
0.003875,	124.199,	21.7274,	0.382539,	-0.00808591,	2.5483,	-1.09099,	-19.0624,	-1.25956,	-17.4594,	0.168569,	-1.60301
0.0039,	124.199,	21.7274,	0.382539,	-0.00808591,	2.5483,	-1.09099,	-19.0624,	-1.25956,	-17.4594,	0.168569,	-1.60301
0.003925,	53.7738,	21.8888,	0.386989,	-0.00457121,	3.86287,	-0.609004,	-14.2963,	-0.77319,	-12.6254,	0.164186,	-1.67091
0.00395,	53.7738,	21.8888,	0.386989,	-0.00457121,	3.86287,	-0.609004,	-14.2963,	-0.77319,	-12.6254,	0.164186,	-1.67091
0.003975,	16.7207,	21.7547,	0.388751,	-8.0878e-08,	4.33675,	0.00842762,	-6.59321,	-0.151445,	-4.8504,	0.159873,	-1.74281
0.004,	16.7207,	21.7547,	0.388751,	-8.0878e-08,	4.33675,	0.00842762,	-6.59321,	-0.151445,	-4.8504,	0.159873,	-1.74281
0.004025,	41.9188,	21.6158,	0.390217,	0.00451523,	3.86385,	0.681451,	2.37221,	0.524455,	4.17226,	0.156996,	-1.80005
0.00405,	41.9188,	21.6158,	0.390217,	0.00451523,	3.86385,	0.681451,	2.37221,	0.524455,	4.17226,	0.156996,	-1.80005
0.004075,	113.593,	21.7631,	0.394105,	0.00810068,	2.54881,	1.28744,	10.6444,	1.13078,	12.4715,	0.156661,	-1.82705
0.0041,	113.593,	21.7631,	0.394105,	0.00810068,	2.54881,	1.28744,	10.6444,	1.13078,	12.4715,	0.156661,	-1.82705
0.004125,	172.727,	22.2889,	0.401263,	0.0101282,	0.678329,	1.64924,	16.4269,	1.48986,	18.2416,	0.159379,	-1.8147
0.00415,	172.727,	22.2889,	0.401263,	0.0101282,	0.678329,	1.64924,	16.4269,	1.48986,	18.2416,	0.159379,	-1.8147
0.004175,	166.861,	22.9565,	0.409752,	0.0100443,	-1.33985,	1.65026,	18.4594,	1.48538,	20.2218,	0.164877,	-1.76238
0.0042,	166.861,	22.9565,	0.409752,	0.0100443,	-1.33985,	1.65026,	18.4594,	1.48538,	20.2218,	0.164877,	-1.76238
0.004225,	104.531,	23.3877,	0.416537,	0.00760791,	-3.06582,	1.33242,	16.3029,	1.16016,	17.981,	0.172256,	-1.67808
0.00425,	104.531,	23.3877,	0.416537,	0.00760791,	-3.06582,	1.33242,	16.3029,	1.16016,	17.981,	0.172256,	-1.67808
0.004275,	38.8283,	23.4347,	0.420121,	0.00333139,	-4.12341,	0.819463,	10.415,	0.639167,	11.9917,	0.180297,	-1.5767
0.0043,	38.8283,	23.4347,	0.420121,	0.00333139,	-4.12341,	0.819463,	10.415,	0.639167,	11.9917,	0.180297,	-1.5767
0.004325,	17.7171,	23.2646,	0.421535,	-0.00167413,	-4.28214,	0.203439,	2.07775,	0.0157623,	3.55458,	0.187677,	-1.47684
0.00435,	17.7171,	23.2646,	0.421535,	-0.00167413,	-4.28214,	0.203439,	2.07775,	0.0157623,	3.55458,	0.187677,	-1.47684
0.004375,	57.1219,	23.1771,	0.423406,	-0.00626669,	-3.50746,	-0.436272,	-6.8824,	-0.629416,	-5.48569,	0.193144,	-1.39671
0.0044,	57.1219,	23.1771,	0.423406,	-0.00626669,	-3.50746,	-0.436272,	-6.8824,	-0.629416,	-5.48569,	0.193144,	-1.39671
0.004425,	127.015,	23.4143,	0.428009,	-0.00959668,	-1.96825,	-0.959827,	-14.5051,	-1.15562,	-13.1549,	0.195795,	-1.35018
0.00445,	127.015,	23.4143,	0.428009,	-0.00959668,	-1.96825,	-0.959827,	-14.5051,	-1.15562,	-13.1549,	0.195795,	-1.35018
0.004475,	165.903,	23.971,	0.435332,	-0.0110301,	-3.60724e-05,	-1.19897,	-19.1204,	-1.39435,	-17.7767,	0.195387,	-1.34373
0.0045,	165.903,	23.971,	0.435332,	-0.0110301,	-3.60724e-05,	-1.19897,	-19.1204,	-1.39435,	-17.7767,	0.195387,	-1.34373
0.004525,	139.51,	24.5447,	0.442968,	-0.0100625,	1.9687,	-1.08903,	-19.7281,	-1.28145,	-18.353,	0.192415,	-1.37509
